Время	x1	x2	x3	y
0.717000	0.005831	0.000018	0.000004	0.000004
0.718000	0.005838	0.000018	0.000004	0.000004
0.719000	0.005845	0.000018	0.000004	0.000004
0.720000	0.005852	0.000018	0.000005	0.000005
0.721000	0.005859	0.000018	0.000005	0.000005
0.722000	0.005866	0.000018	0.000005	0.000005
0.723000	0.005873	0.000018	0.000005	0.000005
0.724000	0.005880	0.000018	0.000005	0.000005
0.725000	0.005887	0.000018	0.000005	0.000005
0.726000	0.005894	0.000018	0.000005	0.000005
0.727000	0.005901	0.000019	0.000005	0.000005
0.728000	0.005908	0.000019	0.000005	0.000005
0.729000	0.005916	0.000019	0.000005	0.000005
0.730000	0.005923	0.000019	0.000005	0.000005
0.731000	0.005930	0.000019	0.000005	0.000005
0.732000	0.005937	0.000019	0.000005	0.000005
0.733000	0.005944	0.000019	0.000005	0.000005
0.734000	0.005951	0.000019	0.000005	0.000005
0.735000	0.005958	0.000019	0.000005	0.000005
0.736000	0.005965	0.000019	0.000005	0.000005
0.737000	0.005972	0.000019	0.000005	0.000005
0.738000	0.005979	0.000019	0.000005	0.000005
0.739000	0.005986	0.000019	0.000005	0.000005
0.740000	0.005993	0.000019	0.000005	0.000005
0.741000	0.006000	0.000019	0.000005	0.000005
0.742000	0.006007	0.000019	0.000005	0.000005
0.743000	0.006014	0.000019	0.000005	0.000005
0.744000	0.006021	0.000019	0.000005	0.000005
0.745000	0.006028	0.000019	0.000005	0.000005
0.746000	0.006035	0.000019	0.000005	0.000005
0.747000	0.006042	0.000019	0.000005	0.000005
0.748000	0.006049	0.000020	0.000005	0.000005
0.749000	0.006056	0.000020	0.000005	0.000005
0.750000	0.006063	0.000020	0.000005	0.000005
0.751000	0.006070	0.000020	0.000005	0.000005
0.752000	0.006077	0.000020	0.000005	0.000005
0.753000	0.006084	0.000020	0.000005	0.000005
0.754000	0.006091	0.000020	0.000005	0.000005
0.755000	0.006098	0.000020	0.000005	0.000005
0.756000	0.006105	0.000020	0.000005	0.000005
0.757000	0.006112	0.000020	0.000005	0.000005
0.758000	0.006119	0.000020	0.000005	0.000005
0.759000	0.006126	0.000020	0.000005	0.000005
0.760000	0.006133	0.000020	0.000005	0.000005
0.761000	0.006140	0.000020	0.000005	0.000005
0.762000	0.006147	0.000020	0.000005	0.000005
0.763000	0.006154	0.000020	0.000005	0.000005
0.764000	0.006161	0.000020	0.000005	0.000005
0.765000	0.006168	0.000020	0.000005	0.000005
0.766000	0.006175	0.000020	0.000005	0.000005
0.767000	0.006182	0.000020	0.000005	0.000005
0.768000	0.006189	0.000021	0.000005	0.000005
0.769000	0.006196	0.000021	0.000005	0.000005
0.770000	0.006203	0.000021	0.000005	0.000005
0.771000	0.006210	0.000021	0.000005	0.000005
0.772000	0.006217	0.000021	0.000006	0.000006
0.773000	0.006224	0.000021	0.000006	0.000006
0.774000	0.006231	0.000021	0.000006	0.000006
0.775000	0.006238	0.000021	0.000006	0.000006
0.776000	0.006245	0.000021	0.000006	0.000006
0.777000	0.006252	0.000021	0.000006	0.000006
0.778000	0.006259	0.000021	0.000006	0.000006
0.779000	0.006266	0.000021	0.000006	0.000006
0.780000	0.006273	0.000021	0.000006	0.000006
0.781000	0.006280	0.000021	0.000006	0.000006
0.782000	0.006286	0.000021	0.000006	0.000006
0.783000	0.006293	0.000021	0.000006	0.000006
0.784000	0.006300	0.000021	0.000006	0.000006
0.785000	0.006307	0.000021	0.000006	0.000006
0.786000	0.006314	0.000021	0.000006	0.000006
0.787000	0.006321	0.000021	0.000006	0.000006
0.788000	0.006328	0.000022	0.000006	0.000006
0.789000	0.006335	0.000022	0.000006	0.000006
0.790000	0.006342	0.000022	0.000006	0.000006
0.791000	0.006349	0.000022	0.000006	0.000006
0.792000	0.006356	0.000022	0.000006	0.000006
0.793000	0.006363	0.000022	0.000006	0.000006
0.794000	0.006369	0.000022	0.000006	0.000006
0.795000	0.006376	0.000022	0.000006	0.000006
0.796000	0.006383	0.000022	0.000006	0.000006
0.797000	0.006390	0.000022	0.000006	0.000006
0.798000	0.006397	0.000022	0.000006	0.000006
0.799000	0.006404	0.000022	0.000006	0.000006
0.800000	0.006411	0.000022	0.000006	0.000006
0.801000	0.006418	0.000022	0.000006	0.000006
0.802000	0.006425	0.000022	0.000006	0.000006
0.803000	0.006431	0.000022	0.000006	0.000006
0.804000	0.006438	0.000022	0.000006	0.000006
0.805000	0.006445	0.000022	0.000006	0.000006
0.806000	0.006452	0.000022	0.000006	0.000006
0.807000	0.006459	0.000023	0.000006	0.000006
0.808000	0.006466	0.000023	0.000006	0.000006
0.809000	0.006473	0.000023	0.000006	0.000006
0.810000	0.006480	0.000023	0.000006	0.000006
0.811000	0.006486	0.000023	0.000006	0.000006
0.812000	0.006493	0.000023	0.000006	0.000006
0.813000	0.006500	0.000023	0.000006	0.000006
0.814000	0.006507	0.000023	0.000006	0.000006
0.815000	0.006514	0.000023	0.000006	0.000006
0.816000	0.006521	0.000023	0.000006	0.000006
0.817000	0.006527	0.000023	0.000007	0.000007
0.818000	0.006534	0.000023	0.000007	0.000007
0.819000	0.006541	0.000023	0.000007	0.000007
0.820000	0.006548	0.000023	0.000007	0.000007
0.821000	0.006555	0.000023	0.000007	0.000007
0.822000	0.006562	0.000023	0.000007	0.000007
0.823000	0.006569	0.000023	0.000007	0.000007
0.824000	0.006575	0.000023	0.000007	0.000007
0.825000	0.006582	0.000023	0.000007	0.000007
0.826000	0.006589	0.000023	0.000007	0.000007
0.827000	0.006596	0.000024	0.000007	0.000007
0.828000	0.006603	0.000024	0.000007	0.000007
0.829000	0.006609	0.000024	0.000007	0.000007
0.830000	0.006616	0.000024	0.000007	0.000007
0.831000	0.006623	0.000024	0.000007	0.000007
0.832000	0.006630	0.000024	0.000007	0.000007
0.833000	0.006637	0.000024	0.000007	0.000007
0.834000	0.006643	0.000024	0.000007	0.000007
0.835000	0.006650	0.000024	0.000007	0.000007
0.836000	0.006657	0.000024	0.000007	0.000007
0.837000	0.006664	0.000024	0.000007	0.000007
0.838000	0.006671	0.000024	0.000007	0.000007
0.839000	0.006677	0.000024	0.000007	0.000007
0.840000	0.006684	0.000024	0.000007	0.000007
0.841000	0.006691	0.000024	0.000007	0.000007
0.842000	0.006698	0.000024	0.000007	0.000007
0.843000	0.006705	0.000024	0.000007	0.000007
0.844000	0.006711	0.000024	0.000007	0.000007
0.845000	0.006718	0.000025	0.000007	0.000007
0.846000	0.006725	0.000025	0.000007	0.000007
0.847000	0.006732	0.000025	0.000007	0.000007
0.848000	0.006738	0.000025	0.000007	0.000007
0.849000	0.006745	0.000025	0.000007	0.000007
0.850000	0.006752	0.000025	0.000007	0.000007
0.851000	0.006759	0.000025	0.000007	0.000007
0.852000	0.006765	0.000025	0.000007	0.000007
0.853000	0.006772	0.000025	0.000007	0.000007
0.854000	0.006779	0.000025	0.000007	0.000007
0.855000	0.006786	0.000025	0.000007	0.000007
0.856000	0.006792	0.000025	0.000007	0.000007
0.857000	0.006799	0.000025	0.000007	0.000007
0.858000	0.006806	0.000025	0.000007	0.000007
0.859000	0.006813	0.000025	0.000008	0.000008
0.860000	0.006819	0.000025	0.000008	0.000008
0.861000	0.006826	0.000025	0.000008	0.000008
0.862000	0.006833	0.000025	0.000008	0.000008
0.863000	0.006840	0.000025	0.000008	0.000008
0.864000	0.006846	0.000026	0.000008	0.000008
0.865000	0.006853	0.000026	0.000008	0.000008
0.866000	0.006860	0.000026	0.000008	0.000008
0.867000	0.006866	0.000026	0.000008	0.000008
0.868000	0.006873	0.000026	0.000008	0.000008
0.869000	0.006880	0.000026	0.000008	0.000008
0.870000	0.006887	0.000026	0.000008	0.000008
0.871000	0.006893	0.000026	0.000008	0.000008
0.872000	0.006900	0.000026	0.000008	0.000008
0.873000	0.006907	0.000026	0.000008	0.000008
0.874000	0.006913	0.000026	0.000008	0.000008
0.875000	0.006920	0.000026	0.000008	0.000008
0.876000	0.006927	0.000026	0.000008	0.000008
0.877000	0.006933	0.000026	0.000008	0.000008
0.878000	0.006940	0.000026	0.000008	0.000008
0.879000	0.006947	0.000026	0.000008	0.000008
0.880000	0.006954	0.000026	0.000008	0.000008
0.881000	0.006960	0.000026	0.000008	0.000008
0.882000	0.006967	0.000027	0.000008	0.000008
0.883000	0.006974	0.000027	0.000008	0.000008
0.884000	0.006980	0.000027	0.000008	0.000008
0.885000	0.006987	0.000027	0.000008	0.000008
0.886000	0.006994	0.000027	0.000008	0.000008
0.887000	0.007000	0.000027	0.000008	0.000008
