Time,x1,x2,x3,y
0.17200000000000001,0.0015429257970876126,1.1446345125948402e-06,6.613722012217161e-08,6.613722012217161e-08
0.17300000000000001,0.00155161199369373,1.1577745573690585e-06,6.728841860586342e-08,6.728841860586342e-08
0.17400000000000002,0.0015602949737856808,1.1709871974996013e-06,6.845279343536136e-08,6.845279343536136e-08
0.17500000000000002,0.001568974738554546,1.1842723927500606e-06,6.963041718590212e-08,6.963041718590212e-08
0.176,0.0015776512891909655,1.1976301029012303e-06,7.082136239249458e-08,7.082136239249458e-08
0.177,0.0015863246268851383,1.2110602877510992e-06,7.2025701549937e-08,7.2025701549937e-08
0.178,0.0015949947528268226,1.224562907114845e-06,7.324350711283425e-08,7.324350711283425e-08
0.179,0.001603661668205336,1.2381379208248267e-06,7.447485149561496e-08,7.447485149561496e-08
0.18,0.001612325374209556,1.2517852887305776e-06,7.57198070725487e-08,7.57198070725487e-08
0.181,0.0016209858720279198,1.2655049706987997e-06,7.697844617776313e-08,7.697844617776313e-08
0.182,0.001629643162848424,1.279296926613356e-06,7.825084110526126e-08,7.825084110526126e-08
0.183,0.001638297247858626,1.2931611163752645e-06,7.953706410893848e-08,7.953706410893848e-08
0.184,0.0016469481282456427,1.3070974999026903e-06,8.083718740259982e-08,8.083718740259982e-08
0.185,0.001655595805196152,1.32110603713094e-06,8.2151283159977e-08,8.2151283159977e-08
0.186,0.0016642402798963925,1.3351866880124545e-06,8.347942351474564e-08,8.347942351474564e-08
0.187,0.0016728815535321628,1.349339412516802e-06,8.482168056054238e-08,8.482168056054238e-08
0.188,0.001681519627288823,1.3635641706306721e-06,8.617812635098195e-08,8.617812635098195e-08
0.189,0.0016901545023512937,1.377860922357868e-06,8.754883289967435e-08,8.754883289967435e-08
0.19,0.0016987861799040577,1.3922296277193e-06,8.893387218024195e-08,8.893387218024195e-08
0.191,0.001707414661131158,1.4066702467529798e-06,9.033331612633655e-08,9.033331612633655e-08
0.192,0.0017160399472162002,1.4211827395140126e-06,9.174723663165655e-08,9.174723663165655e-08
0.193,0.0017246620393423508,1.435767066074591e-06,9.317570554996395e-08,9.317570554996395e-08
0.194,0.0017332809386923387,1.4504231865239877e-06,9.461879469510152e-08,9.461879469510152e-08
0.195,0.0017418966464484546,1.4651510609685492e-06,9.607657584100984e-08,9.607657584100984e-08
0.196,0.0017505091637925513,1.4799506495316894e-06,9.754912072174434e-08,9.754912072174434e-08
0.197,0.0017591184919060442,1.494821912353882e-06,9.903650103149243e-08,9.903650103149243e-08
0.198,0.001767724631969911,1.5097648095926546e-06,1.005387884245905e-07,1.005387884245905e-07
0.199,0.0017763275851646922,1.5247793014225818e-06,1.0205605451554099e-07,1.0205605451554099e-07
